TANGGAL,TN,TX,TAVG,RH_AVG,RR,FF_X,FF_AVG
25-09-2025,22.5,32.6,27.1,85,0,4,2
26-09-2025,23,31.4,26.5,85,2.6,4,2
27-09-2025,22.7,33.5,28,82,0,5,3
28-09-2025,23.8,34.4,28.2,80,0,5,3
29-09-2025,24.2,30.5,25.7,91,0,3,1
30-09-2025,24.1,30.5,25.7,93,23.5,5,1
01-10-2025,22,31.1,26.1,87,20.5,4,1
02-10-2025,22.5,33.3,27,87,1.6,4,2
03-10-2025,22.8,30.4,26.3,90,0,5,2
04-10-2025,21.8,30.6,26.3,80,0,4,2
05-10-2025,23.4,31.8,27.1,85,0,3,1
06-10-2025,23.8,33.6,28,78,1.4,5,2
07-10-2025,22.6,31.8,26.8,84,0,5,3
08-10-2025,23.2,31.4,27,83,0,6,3
09-10-2025,23.2,30.9,26.8,83,0,6,3
10-10-2025,23.3,31.4,27,84,0,5,3
11-10-2025,24,31.4,27.6,81,0,4,2
12-10-2025,24,33.5,27.4,85,0,6,2
13-10-2025,24.2,34.4,28.6,80,14,5,2
14-10-2025,24,32.8,28.1,82,8888,5,3
15-10-2025,24,32.6,27.8,83,0,3,2
16-10-2025,24,33.3,27.8,86,28.7,4,2
17-10-2025,23.8,32.8,27.1,87,23.5,6,2
18-10-2025,22.4,32.4,27.8,85,24.8,4,2
19-10-2025,24,31.5,27.3,87,0,4,2
20-10-2025,24.6,32.4,27,86,8888,3,2
21-10-2025,23.4,31,25.2,94,10.7,4,2
22-10-2025,22.5,29.6,25.5,91,112,4,2
23-10-2025,23,27.5,25.5,90,0,4,2
24-10-2025,23.2,28.8,24.6,96,8888,4,2
25-10-2025,23.2,28.3,24.4,95,59.7,4,2
26-10-2025,23.2,27.8,24.6,94,12.5,3,2
27-10-2025,22.6,30.8,26,88,2.7,5,2
28-10-2025,23.5,29.9,25.1,93,12.1,4,1
29-10-2025,22.8,30,26.5,84,21,3,2
30-10-2025,22.8,28.3,25.7,88,0,5,3
31-10-2025,23.2,30.8,24.7,91,6.5,3,1
01-11-2025,22.9,30.4,25.7,91,26.9,4,2
02-11-2025,24.2,29.6,26.4,91,5.1,3,1
03-11-2025,23,30.5,26.6,87,0.8,5,2
04-11-2025,22.7,31.2,26.5,87,5.4,5,2
05-11-2025,22.8,30.4,25.2,89,8888,8,2
06-11-2025,23.8,30,26.2,87,2,8,3
07-11-2025,23,31.4,27.1,83,0.4,3,1
08-11-2025,23.9,31.8,26.8,86,0,6,2
09-11-2025,23.4,31.2,26.8,86,7,4,2
10-11-2025,23.2,30.7,25.8,93,59.8,3,1
11-11-2025,23.5,30.6,26,90,15.1,5,2
12-11-2025,23.4,30,25.2,93,0.8,3,1
13-11-2025,23.5,29.6,26.1,87,1.1,4,2
14-11-2025,23.1,28,25.7,91,3.4,13,2
15-11-2025,22.8,29.4,25.2,91,1.7,3,2
16-11-2025,22.8,31.2,26.7,87,11.3,7,2
17-11-2025,23.3,30.9,27.1,85,0,4,2
18-11-2025,23.7,31,26.5,89,0,3,1
19-11-2025,23.2,31.2,26,89,4.6,3,2
20-11-2025,22.8,29.6,25.5,91,24,3,1
21-11-2025,23,31.1,26.5,87,16.5,3,1
22-11-2025,24.2,30.1,26.6,85,1.3,4,2
23-11-2025,23.2,31.1,24.9,93,0,2,1
24-11-2025,23,30.4,26.5,86,75.3,3,2
25-11-2025,22.6,30.6,26.9,80,0,5,2
26-11-2025,23.5,26.6,24.8,94,8888,3,1
27-11-2025,23.2,29.3,25.5,90,9.1,4,2
28-11-2025,23.4,29.4,26.1,84,1.9,4,2
29-11-2025,22.9,29.4,26.4,82,0,4,2
30-11-2025,23,31,26.8,83,0,7,2
01-12-2025,24.4,30.4,27.3,82,0,4,1
02-12-2025,24.3,32.4,26.8,85,0,4,2
03-12-2025,22.5,29,26.2,90,49.3,3,1
04-12-2025,24.2,29.4,26,89,8888,4,1
05-12-2025,21.9,30.5,25.1,91,6.4,2,1
06-12-2025,22.6,30.4,25.2,91,1.4,3,1
07-12-2025,22,29.4,25.8,90,11,6,2
08-12-2025,23.6,30.9,26.4,84,0,6,3
09-12-2025,22.4,29.5,26.3,86,15.1,4,2
10-12-2025,24.4,31.6,27.3,85,0,5,2
11-12-2025,24.7,31.2,27.8,83,0,4,3
12-12-2025,24.5,31.5,27.3,83,0,6,3
13-12-2025,23.5,30.7,27,81,0,6,4
14-12-2025,23.8,27.8,25.3,93,7.2,3,2
15-12-2025,23.1,30,26.8,83,24.5,7,4
16-12-2025,23.9,30.8,27.5,82,1,6,3
17-12-2025,24.1,30.6,27.3,84,0,5,3
18-12-2025,24.4,30.3,27.2,84,0,5,3
19-12-2025,23.7,32.4,28,84,0,3,2
20-12-2025,24.4,32.2,27.1,87,5,7,1
21-12-2025,22.4,31.6,26.3,85,23.1,6,2
22-12-2025,22.7,31.5,27.5,84,8.4,6,2
23-12-2025,24.1,32,28,84,0.9,5,2
24-12-2025,24.2,31.8,27.6,85,16.5,4,2
25-12-2025,24,31.6,28.1,84,0,5,2
26-12-2025,24.7,30.3,26.4,90,1,5,2
27-12-2025,23,29.2,25.4,92,85.9,3,2
28-12-2025,23.2,32.2,28.3,82,8,4,3
29-12-2025,25.2,31,27.8,83,0,4,2
30-12-2025,24.1,31,27.1,84,0,6,2
31-12-2025,24.3,32,26.4,87,2.8,5,1
01-01-2026,23.8,31.8,26.6,88,0,6,2
02-01-2026,21.6,31.6,26.1,80,84.3,4,2
03-01-2026,24.6,31.2,26.1,88,0,6,1
04-01-2026,22.7,30.4,26.2,89,45.4,5,2
05-01-2026,24,30.8,26.9,86,0,3,1
06-01-2026,24.2,31.9,28.2,78,0,4,2
07-01-2026,24.1,31.4,27.2,81,1.7,5,3
08-01-2026,25.2,31.2,28,78,0,6,3
09-01-2026,25,29.9,26.1,90,8888,5,3
10-01-2026,23.6,30.4,25.9,88,17.1,4,3
11-01-2026,22.8,29.2,25.1,89,1.8,4,2
12-01-2026,22.7,30.6,25.1,90,24.3,7,2
13-01-2026,22.2,29.8,25.2,85,31.6,4,2
14-01-2026,22.7,30.6,26,83,13.6,8,5
15-01-2026,23,29.6,26.2,85,16.4,8,2
16-01-2026,23.1,31.6,26.6,84,2.2,7,3
17-01-2026,23.4,31.5,25.8,90,31.6,2,1
18-01-2026,22.8,29.3,25.1,92,103,4,1
19-01-2026,22.4,31.2,25.9,87,1.2,5,2
20-01-2026,23.4,31.4,26.6,88,16,8,2
21-01-2026,22.3,29.4,25.8,86,19,5,2
22-01-2026,23.1,32,27,82,0,3,1
23-01-2026,23.2,28.8,24.9,88,0,6,2
24-01-2026,24.7,31.6,28.7,64,3.5,11,6
25-01-2026,22.3,30.1,26.3,86,0,3,2
26-01-2026,23.4,32.4,26.3,85,0.8,3,1
27-01-2026,23.6,30.7,25.9,90,39.3,7,2
28-01-2026,23.2,30.9,24.7,94,66.5,4,1
29-01-2026,21.9,31.4,25.1,91,19.2,4,2
30-01-2026,23,29.4,24.9,91,9.4,7,2
31-01-2026,22.2,31.4,26.5,87,32.6,3,1
